,Value
0,1249780.36
1,22105787336.899017
2,1209803956.114
3,16405470408.973993
4,1280395429.368
5,33165699.419999998
6,540022.0
7,10547269145.300997
8,99884087.29800001
9,756453339.096
10,40361156.288
11,
12,1467116.305
13,306925514.5
14,85247232.0
15,141342390.29999998
16,442508953.52900004
17,116038698.0
18,422847041.48100007
19,761096757.4990001
20,2913309019.1639996
21,61386696.800000004
22,22355936.008
23,5406844.652
24,26203322.123999998
25,87603749.4
26,8006099.010000001
27,530477.9
28,247013603.40999997
29,2892011558.857
30,3048450.041
31,6265026.864
32,12981755.128
33,55827938.502000004
34,166508331.11
35,372174501.6
36,1001167587.2999997
37,85752800.0
38,1690082.104
39,230968450.545
40,14781322500.0
41,912011871.056
42,902853018.8169999
43,3527081892.952
44,174312188.088
45,737724537.165
46,26723933.637
47,10482330.096
48,69096062.529
49,115936025.26788229
50,112904167.608
51,1590154.0999999999
52,636490.4
53,12273397.76
54,112054635.0
55,781073842.8000001
56,20442749.886
57,
58,61051431.0
59,206112801.701
60,1015320172.4819999
61,26826136760.554234
62,65555596499.44499
63,28686721936.154964
64,5673897332.563989
65,10442976829.021841
66,338091365.22
67,2580776657.8079996
68,3115381122.9599996
69,
70,358214759.59999996
71,14065118.799999999
72,3574863076.392
73,4154802145.9599986
74,29959594940.18831
75,45829329.800000004
76,18648117.07
77,753187971.1999999
78,642536.4
79,2584875.432
80,67280395.504
81,715148698.9
82,49106125.199999996
83,881874539.136
84,
85,459317862.39000005
86,89383829.808
87,66384970.60299999
88,44453157.906
89,83628339.6
90,1814208.396
91,848997.5
92,401983469.46000004
93,2753675.7
94,15438671.325
95,12155785849.411892
96,52551800.0
97,207952855.755
98,27953871259.86099
99,36180751.7
100,269852109.761
101,92825839.5
102,73860125333.59782
103,125386565117.25397
104,51527827703.13216
105,17681176641.22143
106,4802521311.981999
107,33846674299.534004
108,
109,24109074886.864
110,
111,59705514.0
112,1527273909.0600002
113,1122530334.684
114,4434924.9
115,181985400.0
116,418103567.0
117,46898242.239
118,216954146.469
119,883854517.0
120,402302114.29
121,1487738118.166
122,173671780.0
123,363033654.84
124,3228692.424
125,
126,305083678.20000005
127,55747977.327
128,9582362483.043074
129,165736314.352
130,119131655.293
131,161387943.938
132,124027389.9
133,2164110.005
134,10417649035.37388
135,32118566703.435658
136,22309747229.546005
137,349784.0
138,338905832.0
139,70758847469.69989
140,124776998527.64429
141,56138927.805
142,26888062121.14699
143,27382542.6
144,6200010.0
145,18755455.6
146,6977018.724
147,551029.0
148,674727671.0
149,
150,26463191.82
151,874021268.848
152,7212519.888
153,10078838360.275991
154,2206673925.113
155,
156,102466918443.29318
157,22123021.182
158,806666973.805
159,4334933.2
160,940228206.5339999
161,9003106267.099012
162,7259688.788
163,75343102.926
164,
165,1128584354.138
166,150533766.87600002
167,12910252.2
168,628347703.77
169,530622095.712
170,4115666443.700011
171,70225839.648
172,3798200.0
173,1063831283.003
174,7525283077.938
175,132317343.145
176,168245277.79999998
177,54548539.199999996
178,560101422.27
179,
180,59552428.00000001
181,15128230045.225986
182,92102026.89600001
183,714126283.6150013
184,6029394990.597
185,79429660.19999999
186,577255763.272
187,2180279799.252
188,201611.19999999998
189,235138556.36699998
190,375858202.5
191,34104883980.66303
192,20439641.6
193,355424955.984
194,86404609.2
195,143295001.89900002
196,134547932.40199998
197,64167271.16043098
198,10657385510.301998
199,4029244.695
200,26578986.335
201,185967820.79999998
202,1415181357.8000002
203,394579185.562
204,35180784382.024994
205,592742746.113
206,1362574080.762
207,553294082.624
208,50191407.2
209,21404799.876
210,256890432.95299998
211,116512391.69999999
212,226888.80000000002
213,642193246.01
214,64590685.50000001
215,38509656695.87298
216,383335436.442
217,38511257745.87295
218,894650101.6486818
219,6699175.296
220,10636036.085
221,57268543.5
222,19421980.5
223,114095645.7
224,29714830.173
225,
226,1601049.9999999998
227,396368465.03999996
228,
229,664426838.53
230,26470344245.62169
231,6085936286.763985
232,264349715.813
233,707952907.6079999
234,279984888.874
235,137060340.204
236,10268775345.045488
237,37867726.08
238,8868558334.697002
239,2508972.97
240,35180784382.024994
241,38511257745.87295
242,17545920.082
243,199851087.16899997
244,1316686057.674
245,
246,2107686430.896
247,1654664353.299
248,359528244.3
249,31707073282.624393
250,47564183.94
251,3742961464.2000003
252,816002505.0
253,1557923.591
254,500909052.214
255,
256,1312028.7000000002
257,1587187525.032
258,8749057.35
259,137436439344.08237
260,4749941.300000001
261,27906496.8
262,871154095.906
263,1178719356.443
264,638996352.3840001
265,435658885.331
